url,ok,images_found,downloaded,skipped,failed
https://thesuntrapp.com/abigail-ross-shares-her-experience-gives-advice-on-relaxation-music-for-mental-recovery/,True,135,107,28,0
https://thesuntrapp.com/abigail-turners-zero-waste-tips-for-clean-eating/,True,0,0,0,0
https://thesuntrapp.com/abs-workouts-by-vera-for-a-slimmer-body/,True,0,0,0,0
https://thesuntrapp.com/adam-cooper-shares-his-experience-gives-guidance-on-weight-loss-programs-for-busy-professionals/,True,119,96,23,0
https://thesuntrapp.com/adeline-bennetts-best-longevity-diets-backed-by-science/,True,122,95,27,0
https://thesuntrapp.com/adeline-carters-best-natural-remedies-for-anxiety-and-depression/,True,96,78,18,0
https://thesuntrapp.com/adeline-fosters-best-omega-3-supplements-for-heart-and-brain-function/,True,107,85,22,0
https://thesuntrapp.com/adelise-marshs-paleo-low-carb-recipes-for-muscle-building/,True,86,68,18,0
https://thesuntrapp.com/alba-rivers-favorite-low-sugar-vegan-desserts/,True,65,50,15,0
https://thesuntrapp.com/alexis-lewis-mediterranean-inspired-vegan-recipes/,True,0,0,0,0
https://thesuntrapp.com/alicia-fosters-best-high-protein-meals-for-fat-loss/,True,96,75,21,0
https://thesuntrapp.com/alicia-norton-shares-her-heart-healthy-diet-for-lowering-blood-pressure/,True,117,96,21,0
https://thesuntrapp.com/alinas-mediterranean-diet-recipes-for-clean-eating/,True,0,0,0,0
https://thesuntrapp.com/alison-grant-explains-how-clean-eating-reduces-risk-of-chronic-disease/,True,99,82,17,0
https://thesuntrapp.com/aliyah-brights-vegan-plan-to-improve-circulation/,True,120,96,24,0
https://thesuntrapp.com/amber-lewis-heart-healthy-recipes-to-lower-cholesterol/,True,0,0,0,0
https://thesuntrapp.com/amber-reed-shares-her-experience-gives-guidance-on-adaptogen-supplements-for-stress-control/,True,118,94,24,0
https://thesuntrapp.com/amber-reed-shares-her-experience-gives-guidance-on-relaxation-techniques-for-anxiety-relief/,True,127,106,21,0
https://thesuntrapp.com/amber-ross-shares-her-experience-gives-advice-on-supplements-to-improve-sleep-quality/,True,111,89,22,0
https://thesuntrapp.com/amelia-bennetts-best-organic-superfoods-for-a-sustainable-diet/,True,98,75,23,0
https://thesuntrapp.com/amelia-carter-shares-her-experience-gives-guidance-on-gemini-advanced-for-academic-research/,True,103,81,22,0
https://thesuntrapp.com/amelia-fosters-guide-to-choosing-the-best-health-insurance-plan/,True,0,0,0,0
https://thesuntrapp.com/amelia-fosters-guide-to-finding-the-best-health-insurance-plan/,True,0,0,0,0
https://thesuntrapp.com/amelia-rowe-explains-how-healthy-fats-improve-brain-and-heart-function/,True,81,63,18,0
https://thesuntrapp.com/andrew-collins-shares-his-experience-gives-guidance-on-weight-loss-apps-that-really-work/,True,96,77,19,0
https://thesuntrapp.com/anti-inflammatory-diet-for-clear-skin-by-olivia-carter/,True,0,0,0,0
